"type","geometry__type","geometry__coordinates__001","geometry__coordinates__002","properties__name__001","properties__name__002","properties__address__street","properties__address__zipcode","properties__address__city","properties__owner__001","properties__owner__002","properties__photo_taken","properties__source"
"Feature","Point","4.935572","52.309485","Datacenter.com AMS1","","Keienbergweg 22","1011 GB","Amsterdam","Datacenter","","False","datacentermap.com"
"Feature","Point","4.93948","52.303912","Cateringweg 5","","Cateringweg 5","1118 AM","Schiphol","Digital Realty (managed by Terremark)","","False","datacentermap.com"
"Feature","Point","4.93948","52.303912","Switch Datacenters Amsterdam","","Lemelerbergweg 28","1101 AH","Amsterdam","Switch Datacenters","","False","datacentermap.com"
"Feature","Point","4.842347","52.399869","Switch Datacenters Amsterdam 3","","Lemelerbergweg 28","1101 AH","Amsterdam","Switch Datacenters","","False","datacentermap.com"
"Feature","Point","4.843834","52.399474","Interxion AMS1","","Gyroscoopweg 58","1042 AC","Amsterdam","Interxion","","False","datacentermap.com"
"Feature","Point","4.842597","52.399861","Interxion AMS2","","Gyroscoopweg 72","1042 AC","Amsterdam","Interxion","","False","datacentermap.com"
"Feature","Point","4.943121","52.299929","Interxion AMS4","","Gyroscoopweg 60","1042 AC","Amsterdam","Interxion","","False","datacentermap.com"
"Feature","Point","4.943121","52.299929","Paul Van Vlissingenstraat 16","","Paul Van Vlissingenstraat 16","1096 BK","Amsterdam","Digital Realty","","False","datacentermap.com"
"Feature","Point","4.945054","52.293351","Matrix 4","","Science Park 404","10 98","Amsterdam","IPTP Networks","","False","datacentermap.com"
"Feature","Point","4.838742","52.39676","AM1 Amsterdam IBX® Data Center","","Luttenbergweg 4","1101 EC","Amsterdam","Equinix","","False","datacentermap.com"
"Feature","Point","4.955048","52.300183","AM2 Amsterdam IBX® Data Center","","Luttenbergweg 4","1101 EC","Amsterdam","Equinix","","False","datacentermap.com"
"Feature","Point","4.886678","52.336277","AM3 Amsterdam IBX® Data Center","","Science Park 610","1098 XH","Amsterdam","Equinix","","False","datacentermap.com"
"Feature","Point","4.844303","52.34339","AM4 Amsterdam IBX® Data Center","","Science Park 610","1098 XH","Amsterdam","Equinix","","False","datacentermap.com"
"Feature","Point","4.93186","52.33476","AM5 Amsterdam IBX® Data Center","","Schepenbergweg 42","1105 AT","Amsterdam","Equinix","","False","datacentermap.com"
"Feature","Point","4.851132","52.396443","AM6 Amsterdam IBX® Data Center","","Duivendrechtsekade 80A","1096 AH","Amsterdam","Equinix","","False","datacentermap.com"
"Feature","Point","4.832253","52.385756","AM7 Amsterdam IBX® Data Center","","Kuiperbergweg 13","1101 AE","Amsterdam","Equinix","","False","datacentermap.com"
"Feature","Point","4.870918","52.395902","AM8 Amsterdam IBX® Data Center","","Gyroscoopweg 2E-F","1042 AM","Amsterdam","Equinix","","False","datacentermap.com"
"Feature","Point","4.849488","52.395778","The Datacenter Group","","Kabelweg 48a","1014 BB","Amsterdam","The Datacenter Group","","False","datacentermap.com"
"Feature","Point","4.951214","52.35396","Vancis B.V.","","Science Park 121","1098 XH","Amsterdam","Vancis B.V.","","False","datacentermap.com"
"Feature","Point","4.951214","52.35396","KPN Datacenter Amsterdam","","Paalbergweg 1-3","1105 AG","Amsterdam","Koninklijke KPN N.V","","False","datacentermap.com"
"Feature","Point","6.878966","52.207393","Alticom Amsterdam","Cellnex Telecom","Barbara Strozzilaan 251","1083 HN","Amsterdam","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","4.951214","52.35396","Colt Amsterdam, Oud-Zuid","","","1059 CA","Amsterdam","Colt Technology Services","","False","datacentermap.com"
"Feature","Point","4.802151","52.322569","Level 3 Amsterdam","","Joop Geesinkweg 401-404","1096 AX","Amsterdam","Level 3","","False","datacentermap.com"
"Feature","Point","4.919441","52.333408","Level 3 Amsterdam","","Stekkenbergweg 4","1105 AJ","Amsterdam","Level 3","","False","datacentermap.com"
"Feature","Point","4.958019","52.356626","TelecityGroup Amstel Business Park","","H.J.E. Wenckebachweg 127","1096 AM","Amsterdam","Digital Realty","","False","datacentermap.com"
"Feature","Point","4.96096","52.354925","Amsterdam Data Tower","","Science Park 120","1098 XG","Amsterdam","Digital Realty","","False","datacentermap.com"
"Feature","Point","4.94859","52.29643","GYRO Center Amsterdam","","Gyroscoopweg 134-140","1042 AZ","Amsterdam","GYRO Center","","False","datacentermap.com"
"Feature","Point","4.788323","52.292431","Colt","","Van der Madeweg 12-14a","1099 BT","Amsterdam","Colt Technology Services","","False","datacentermap.com"
"Feature","Point","4.96096","52.354925","Databarn Amsterdam B.V.","","Zekeringstraat 35","1014 BV","Amsterdam","Databarn Amsterdam B.V.","","False","datacentermap.com"
"Feature","Point","4.93365","52.337296","Global One","","Heathrowstraat 10","1043 CH","Amsterdam","Global One","","False","datacentermap.com"
"Feature","Point","4.938009","52.303078","Global Switch","","Johan Huizingalaan 759","1066 VH","Amsterdam","Global Switch","","False","datacentermap.com"
"Feature","Point","4.849214","52.392897","Eweka DC","","Westhavenweg 60B","1042 AL","Amsterdam","Eweka DC","","False","datacentermap.com"
"Feature","Point","4.952501","52.356671","DCA","","Archangelkade 1/3","1013 BE","Amsterdam","DCA","","False","datacentermap.com"
"Feature","Point","4.931893","52.336524","IS Group","","Zekeringstraat 43","1014 BV","Amsterdam","KPN","","False","datacentermap.com"
"Feature","Point","4.950882","52.357161","Nikhef","","Kruislaan 409","1098 SL","Amsterdam","Nikhef","","False","datacentermap.com"
"Feature","Point","4.926198","52.328278","RDC Datacentrum","","De Klencke 10-12","1083 HL","Amsterdam","RDC","","False","datacentermap.com"
"Feature","Point","4.828712","52.343984","SARA Amsterdam","","Kruislaan 415","1098 SL","Amsterdam","SURF U.A.","","False","datacentermap.com"
"Feature","Point","4.828869","52.408398","Vancis","","Science Park 140","1098 XG","Amsterdam","Vancis","","False","datacentermap.com"
"Feature","Point","4.885484","52.333972","Verizon 1","","Joan Muyskenweg 24","1096 CJ","Amsterdam","Verizon","","False","datacentermap.com"
"Feature","Point","4.954253","52.356921","Verizon 2","","Kollenbergweg 13","1101 AR","Amsterdam","Verizon","","False","datacentermap.com"
"Feature","Point","4.913962","52.332571","XS4ALL DC2","","Drentestraat 12","1083 HK","Amsterdam","XS4ALL","","False","datacentermap.com"
"Feature","Point","4.935663","52.30491","TelecityGroup Amsterdam","","Kruislaan 411","1098 SJ","Amsterdam","Equinix","","False","datacentermap.com"
"Feature","Point","4.956934","52.35672","Vancis Amsterdam","","Gebouw Matrix III Science Park 402","1098 XH","Amsterdam","Vancis","","False","datacentermap.com"
"Feature","Point","4.842911","52.400496","Interoute Amsterdam","","Koolhovenlaan 120 1119NR","Schiph ol","Rijk","Interoute Communications Ltd","","False","datacentermap.com"
"Feature","Point","4.755958","52.27956","Interxion AMS3","","Cessnalaan 1-33 1119NJ","Schiph ol","Rijk","Interxion","","False","datacentermap.com"
